City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okhotsk,84,RU,1570837581,67,59.36,143.24,-1.99,0.742
Hermanus,100,ZA,1570837715,91,-34.42,19.24,13.04,1.34
Katsuura,75,JP,1570837715,83,33.93,134.5,21.81,14.4
Geraldton,90,CA,1570837715,100,49.72,-86.95,14.0,4.1
Altay,0,CN,1570837716,45,47.83,88.13,2.28,2.111
Bredasdorp,97,ZA,1570837716,87,-34.53,20.04,11.19,0.5
Bayir,0,TR,1570837717,93,37.27,28.22,17.0,1.0
Puteyets,100,RU,1570837717,92,65.17,57.09,2.1,1.864
Leua,79,AO,1570837717,89,-11.65,20.45,18.65,1.585
Chara,20,GR,1570837718,88,39.42,22.43,18.52,1.379
Atherton,0,AU,1570837718,61,-17.27,145.48,27.87,5.7
Avera,1,US,1570837718,60,33.19,-82.53,22.0,1.274
Punta Arenas,40,CL,1570837718,80,-53.16,-70.91,3.94,12.3
Am Timan,100,TD,1570837719,89,11.04,20.28,22.62,2.147
Pevek,66,RU,1570837719,73,69.7,170.27,-4.77,8.689
Yellowknife,75,CA,1570837719,68,62.45,-114.38,5.0,11.3
Busselton,38,AU,1570837719,56,-33.64,115.35,13.28,2.33
Castro,100,CL,1570837720,87,-42.48,-73.76,11.0,3.6
Aksarka,44,RU,1570837720,87,66.56,67.8,-0.3,5.217
Thanh Hoa,40,VN,1570837720,100,10.21,106.33,25.0,0.884
Carnarvon,83,ZA,1570837720,10,-30.97,22.13,14.99,1.409
Chokurdakh,96,RU,1570837721,95,70.62,147.9,-8.25,4.238
Ozernovskiy,81,RU,1570837721,82,51.5,156.52,10.55,5.444
Rikitea,76,PF,1570837721,58,-23.12,-134.97,20.8,3.494
Chuy,52,UY,1570837722,83,-33.69,-53.46,18.45,1.319
Kita,75,JP,1570837722,100,35.76,139.74,23.18,9.3
Sao Luiz Gonzaga,45,BR,1570837722,57,-28.41,-54.96,27.39,3.73
Hithadhoo,100,MV,1570837722,80,-0.6,73.08,27.33,7.891
Ushuaia,75,AR,1570837723,97,-54.81,-68.31,4.0,8.2
Kilindoni,57,TZ,1570837723,83,-7.91,39.67,26.31,6.578
Cidreira,11,BR,1570837723,76,-30.17,-50.22,22.08,7.21
Hualmay,0,PE,1570837723,83,-11.1,-77.61,14.45,0.84
Kapaa,90,US,1570837724,78,22.08,-159.32,28.66,3.1
Morant Bay,20,JM,1570837724,66,17.88,-76.41,30.0,6.2
New Norfolk,20,AU,1570837725,53,-42.78,147.06,11.84,1.5
Ust-Kulom,100,RU,1570837725,97,61.69,53.69,3.36,3.473
Arlit,95,NE,1570837725,19,18.74,7.39,34.16,4.557
Saskylakh,97,RU,1570837725,83,71.97,114.09,-10.46,1.865
Atuona,5,PF,1570837726,70,-9.8,-139.03,26.01,5.336
Basoko,95,CD,1570837726,99,1.23,23.61,20.26,1.874
Juneau,75,US,1570837726,81,58.3,-134.42,9.23,1.5
Vejprty,95,CZ,1570837726,81,50.49,13.03,11.14,1.5
Rawson,39,AR,1570837726,61,-43.3,-65.11,12.74,7.821
Chumikan,10,RU,1570837727,43,54.72,135.31,-2.38,10.002
Sola,59,TZ,1570837727,63,-3.17,33.8,21.25,3.862
Taoudenni,57,ML,1570837727,35,22.68,-3.98,30.44,2.434
Jiaozuo,75,CN,1570837727,73,35.21,113.25,17.61,1.441
Qaanaaq,100,GL,1570837727,81,77.48,-69.36,-4.57,3.745
Atambua,26,ID,1570837728,44,-9.11,124.89,29.05,1.259
Nikolskoye,90,RU,1570837728,87,59.7,30.79,8.91,4.0
Ahipara,95,NZ,1570837728,99,-35.17,173.16,20.0,3.191
Komsomolskiy,80,RU,1570837729,90,67.55,63.78,-2.07,5.191
Isangel,75,VU,1570837729,62,-19.55,169.27,29.0,3.1
Cape Town,94,ZA,1570837729,87,-33.93,18.42,15.24,5.7
Aykhal,47,RU,1570837730,74,65.95,111.51,-14.07,2.912
Te Anau,100,NZ,1570837730,96,-45.41,167.72,4.55,2.514
Kerrville,90,US,1570837730,53,30.05,-99.14,10.78,5.1
Talnakh,100,RU,1570837730,72,69.49,88.39,-4.24,5.094
Novyy Svit,17,UA,1570837730,73,47.81,38.02,10.09,3.03
Kudahuvadhoo,99,MV,1570837731,71,2.67,72.89,27.95,2.529
Mill Valley,1,US,1570837731,37,37.91,-122.55,25.0,2.6
Tiksi,100,RU,1570837731,95,71.64,128.87,-5.97,2.891
Hobart,20,AU,1570837731,53,-42.88,147.33,11.84,1.5
Vaini,98,IN,1570837732,96,15.34,74.49,20.26,0.503
Dikson,94,RU,1570837732,93,73.51,80.55,-0.82,8.716
Albany,75,US,1570837732,47,42.65,-73.75,13.06,2.1
Victoria,75,BN,1570837733,88,5.28,115.24,25.04,2.697
Kysyl-Syr,100,RU,1570837733,85,63.9,122.77,-6.76,6.242
Tuatapere,100,NZ,1570837733,79,-46.13,167.69,9.44,4.47
Prenzlau,100,DE,1570837734,72,53.32,13.87,14.33,3.58
Tigil,99,RU,1570837734,67,57.8,158.67,7.64,10.276
San Jose,33,HN,1570837734,92,14.25,-87.96,19.27,1.323
Lompoc,1,US,1570837734,27,34.64,-120.46,25.67,5.1
Barrow,100,AR,1570837734,72,-38.31,-60.23,12.78,4.819
Chabahar,0,IR,1570837735,85,25.29,60.65,24.22,0.566
Lebu,75,ET,1570837735,71,8.96,38.73,14.0,2.1
Upernavik,100,GL,1570837735,81,72.79,-56.15,-1.4,4.762
Gander,40,CA,1570837735,62,48.95,-54.61,13.0,1.5
Dakar,0,SN,1570837736,88,14.69,-17.45,27.03,3.1
Jamestown,0,AU,1570837736,30,-33.21,138.6,18.82,6.482
Athabasca,0,CA,1570837736,64,54.72,-113.29,3.46,3.138
Ketchikan,90,US,1570837736,100,55.34,-131.65,8.0,11.3
Hami,0,CN,1570837736,36,42.84,93.51,11.87,2.388
Mehamn,99,NO,1570837737,82,71.03,27.85,1.92,1.772
Caborca,0,MX,1570837737,36,30.58,-111.1,29.78,1.79
Margherita,40,IN,1570837737,94,27.29,95.67,23.0,1.5
Bathsheba,40,BB,1570837737,74,13.22,-59.52,28.0,4.1
Coffs Harbour,75,AU,1570837738,82,-30.3,153.13,13.85,5.7
Lavrentiya,0,RU,1570837738,66,65.58,-170.99,0.05,5.751
College,75,US,1570837738,73,64.86,-147.8,0.67,4.6
Hamada,75,JP,1570837738,83,34.9,132.08,22.6,8.7
Orhei,43,MD,1570837739,87,47.39,28.83,5.75,2.1
Pisco,14,PE,1570837739,30,-13.71,-76.2,18.91,3.1
Kloulklubed,75,PW,1570837739,74,7.04,134.26,30.0,5.7
Hasaki,75,JP,1570837739,94,35.73,140.83,23.23,7.7
Mataura,100,NZ,1570837739,79,-46.19,168.86,9.44,4.47
Ponta do Sol,96,BR,1570837740,74,-20.63,-46.0,20.82,1.009
Kenai,90,US,1570837740,42,60.55,-151.26,8.92,4.1
Ribeira Grande,100,PT,1570837740,76,38.52,-28.7,15.78,6.759
The Valley,20,AI,1570837740,74,18.22,-63.06,28.04,1.5
Georgetown,20,GY,1570837741,83,6.8,-58.16,26.92,5.1
Guerrero Negro,0,MX,1570837741,25,27.97,-114.04,28.64,5.64
Karratha,0,AU,1570837741,51,-20.74,116.85,26.68,4.152
Trelew,96,AR,1570837742,45,-43.25,-65.31,14.89,6.638
Beringovskiy,79,RU,1570837742,67,63.05,179.32,1.88,4.397
Ilulissat,100,GL,1570837742,90,69.22,-51.1,0.0,4.6
Butaritari,91,KI,1570837742,60,3.07,172.79,29.76,3.64
Port-Gentil,40,GA,1570837743,94,-0.72,8.78,25.0,2.6
San Patricio,6,PY,1570837743,57,-26.98,-56.83,28.18,3.38
Saldanha,98,PT,1570837743,52,41.42,-6.55,17.79,1.919
Baturaja,58,ID,1570837743,77,-4.12,104.17,24.14,0.626
East London,79,ZA,1570837743,80,-33.02,27.91,17.79,4.07
Laguna,75,BZ,1570837744,78,16.17,-88.94,28.0,2.1
Tommot,100,RU,1570837744,89,58.97,126.27,-9.26,6.98
Dzilam Gonzalez,0,MX,1570837744,78,21.28,-88.93,29.44,4.02
Port Alfred,66,ZA,1570837745,85,-33.59,26.89,15.0,0.89
Ciudad Guayana,86,VE,1570837745,95,8.32,-62.69,23.75,2.169
Xining,0,CN,1570837745,78,36.62,101.77,3.91,1.445
Puerto Ayora,3,EC,1570837745,53,-0.74,-90.35,22.38,7.7
Oranjemund,0,ZA,1570837746,77,-28.55,16.43,14.09,2.333
Inirida,64,CO,1570837746,91,3.87,-67.92,23.93,1.197
Pozo Colorado,0,PY,1570837746,33,-23.49,-58.8,31.33,3.38
Quatre Cocos,40,MU,1570837746,83,-20.21,57.76,21.55,3.1
Luderitz,0,NA,1570837747,82,-26.65,15.16,14.0,1.5
Saint-Philippe,1,CA,1570837747,36,45.36,-73.48,13.87,4.104
Faanui,4,PF,1570837747,77,-16.48,-151.75,24.04,9.582
Berlevag,99,NO,1570837747,69,70.86,29.09,4.23,3.383
Salvador,40,BR,1570837748,69,-12.98,-38.48,27.0,4.6
Amiens,49,FR,1570837748,87,49.89,2.3,14.12,5.1
Codrington,40,AU,1570837748,87,-28.95,153.24,13.34,4.1
Loandjili,75,CG,1570837749,88,-4.77,11.87,26.0,3.6
Saint Stephen,90,US,1570837749,80,45.7,-94.27,0.56,7.2
Bluff,0,AU,1570837749,17,-23.58,149.07,26.24,4.28
Kavaratti,100,IN,1570837750,63,10.57,72.64,28.97,0.263
Syriam,20,MM,1570837750,88,16.77,96.24,25.0,1.0
North Platte,1,US,1570837750,28,41.12,-100.77,5.39,11.8
Bethel,40,US,1570837750,64,60.79,-161.76,3.66,6.2
Pacific Grove,1,US,1570837751,10,36.62,-121.92,25.11,3.1
Ostrovnoy,100,RU,1570837751,95,68.05,39.51,-0.82,0.741
Sarangani,100,PH,1570837751,76,5.4,125.46,28.04,4.075
Kukuna,18,SL,1570837751,98,8.64,-12.57,23.71,1.778
Griffith,6,AU,1570837751,51,-34.29,146.06,17.43,4.6
Srednekolymsk,100,RU,1570837752,93,67.46,153.71,-4.52,1.588
The Pas,1,CA,1570837752,44,53.82,-101.24,5.0,9.3
Aktau,90,KZ,1570837752,27,43.65,51.16,17.0,6.0
Santa Maria,75,BR,1570837752,64,-16.02,-48.01,20.7,2.1
Provideniya,0,RU,1570837753,59,64.42,-173.23,-1.45,1.509
Mukhen,0,RU,1570837753,43,48.19,136.14,2.65,3.268
Linxia,1,CN,1570837753,70,35.6,103.21,5.16,1.444
Samarai,81,PG,1570837753,62,-10.62,150.67,26.45,2.34
Cherskiy,100,RU,1570837754,70,68.75,161.3,-3.9,6.185
Matamoros,90,US,1570837754,77,25.87,-97.51,18.47,8.7
Magadan,67,RU,1570837754,71,59.56,150.8,2.7,3.226
Beyneu,81,KZ,1570837754,44,45.32,55.19,12.38,7.988
Naples,0,IT,1570837754,93,40.84,14.25,16.99,0.5
Padang,20,ID,1570837755,91,-0.92,100.36,20.34,0.852
Torbay,75,CA,1570837755,70,47.66,-52.73,6.93,3.1
Sur,0,OM,1570837755,62,22.57,59.53,26.55,4.135
Mount Gambier,40,AU,1570837755,76,-37.83,140.78,13.0,5.7
Arraial do Cabo,20,BR,1570837756,83,-22.97,-42.02,23.0,6.7
Moose Factory,1,CA,1570837756,39,51.26,-80.61,19.0,6.2
Zhigansk,64,RU,1570837756,84,66.77,123.37,-5.46,14.158
Cayenne,6,GF,1570837756,78,4.94,-52.33,27.0,1.5
Itaituba,99,BR,1570837757,92,-4.26,-55.99,23.35,1.742
Road Town,40,VG,1570837757,66,18.42,-64.62,28.03,2.1
Beliu,6,RO,1570837757,81,46.49,21.99,7.94,3.1
Port Elizabeth,90,US,1570837758,51,39.31,-74.98,16.15,2.6
Nuuk,99,GL,1570837758,86,64.17,-51.74,1.0,2.1
Fairhope,40,US,1570837758,78,30.52,-87.9,25.94,2.1
Roald,100,NO,1570837758,87,62.58,6.12,4.9,3.6
Locri,20,IT,1570837759,77,38.24,16.26,19.97,1.0
Santander,100,PH,1570837759,74,9.42,123.33,27.7,3.747
Gigmoto,87,PH,1570837759,73,13.78,124.39,27.12,5.59
Kodiak,1,US,1570837759,48,39.95,-94.76,5.89,5.1
Mahebourg,40,MU,1570837759,83,-20.41,57.7,21.51,3.1
Norrtalje,75,SE,1570837760,93,59.76,18.7,10.12,5.1
Talaya,100,RU,1570837760,67,55.79,84.89,-4.19,2.283
Avarua,38,CK,1570837760,53,-21.21,-159.78,24.0,6.2
Zhicheng,76,CN,1570837760,69,35.04,112.59,17.69,0.287
Nabire,99,ID,1570837761,63,-3.36,135.5,28.88,0.401
Hofn,1,IS,1570837761,60,64.25,-15.21,5.31,8.997
Gorontalo,96,ID,1570837761,73,0.54,123.06,27.45,0.767
Florianopolis,0,BR,1570837761,83,-27.6,-48.55,22.0,5.7
Lakes Entrance,63,AU,1570837762,58,-37.88,147.99,14.09,1.34
Hambantota,100,LK,1570837762,78,6.12,81.12,26.9,2.399
Awbari,0,LY,1570837762,49,26.59,12.77,20.45,3.377
Rocha,100,UY,1570837762,96,-34.48,-54.34,15.49,0.43
Aklavik,90,CA,1570837763,97,68.22,-135.01,0.0,5.1
Norman Wells,75,CA,1570837763,69,65.28,-126.83,3.0,1.5
Orlik,20,PL,1570837763,76,53.95,17.74,12.4,7.7
Conde,81,BR,1570837764,76,-11.81,-37.61,25.97,8.509
Kathu,30,ZA,1570837764,51,-27.7,23.05,21.11,5.819
Kuching,75,MY,1570837764,94,1.56,110.34,23.93,1.5
Mporokoso,49,ZM,1570837764,56,-9.37,30.12,20.87,3.702
Ixtapa,75,MX,1570837765,70,20.71,-105.21,30.79,3.6
Mackay,20,CA,1570837765,29,53.65,-115.58,10.5,3.6
Fortuna,40,US,1570837765,67,40.6,-124.16,17.23,5.1
Fairbanks,75,US,1570837765,72,64.84,-147.72,0.48,4.6
Hilo,40,US,1570837765,62,19.71,-155.08,26.2,6.7
Melfort,1,CA,1570837766,41,52.87,-104.61,4.0,5.1
Kaseda,40,JP,1570837766,69,31.42,130.32,22.46,7.7
Alushta,0,UA,1570837766,63,44.68,34.41,16.8,3.243
Westport,90,US,1570837767,67,41.14,-73.36,14.06,7.7
Horta,40,BR,1570837767,78,-10.93,-37.66,26.0,5.7
Fonte Boa,71,BR,1570837767,88,-2.51,-66.09,23.49,1.438
Del Rio,90,US,1570837768,29,29.36,-100.9,14.85,3.6
Beidao,42,CN,1570837768,60,34.57,105.89,10.17,0.959
Port Hardy,90,CA,1570837768,71,50.7,-127.42,11.0,2.1
Kargopol,100,RU,1570837768,93,61.51,38.95,5.3,3.262
Iqaluit,75,CA,1570837769,69,63.75,-68.52,0.77,6.2
North Bend,1,US,1570837769,36,43.41,-124.22,19.86,3.1
Constitucion,90,MX,1570837769,46,23.99,-104.67,21.0,2.1
Mahibadhoo,94,MV,1570837769,79,3.78,72.97,27.2,4.037
Agadez,1,NE,1570837769,38,16.97,7.99,31.0,5.311
Cobh,100,IE,1570837770,93,51.85,-8.29,8.6,3.1
Vao,100,EE,1570837770,94,59.1,26.19,10.1,4.546
Okahandja,32,NA,1570837770,45,-21.98,16.91,20.0,1.0
Namibe,97,AO,1570837770,85,-15.19,12.15,19.87,4.733
Himeji,75,JP,1570837771,94,34.82,134.69,22.47,11.8
Woodstock,90,CA,1570837771,52,43.13,-80.75,15.88,7.2
LaPlace,75,US,1570837771,74,30.07,-90.48,26.73,2.076
Ahuimanu,75,US,1570837772,74,21.44,-157.84,29.12,2.1
Sumbe,76,AO,1570837772,88,-11.2,13.84,22.64,3.315
San Vicente,20,EC,1570837772,78,-0.59,-80.41,24.0,6.7
Tahoua,78,NE,1570837772,74,14.89,5.26,28.0,2.1
Talca,100,CL,1570837773,72,-35.43,-71.66,16.0,2.1
Bambous Virieux,40,MU,1570837773,83,-20.34,57.76,21.52,3.1
Berdigestyakh,100,RU,1570837773,87,62.1,126.7,-9.38,5.982
Mar del Plata,37,AR,1570837773,60,-46.43,-67.52,8.75,1.165
Alofi,75,NU,1570837774,78,-19.06,-169.92,26.0,6.7
Necochea,100,AR,1570837774,82,-38.55,-58.74,10.56,2.68
Jishou,77,CN,1570837774,87,28.26,109.7,15.15,0.995
Narsaq,75,GL,1570837774,86,60.91,-46.05,1.0,0.5
Bay-Khaak,0,RU,1570837775,37,51.16,94.47,-4.2,0.527
Port Blair,38,IN,1570837775,71,11.67,92.75,27.94,1.296
Zhob,0,PK,1570837775,49,31.34,69.45,17.69,0.503
Jijiga,66,ET,1570837775,80,9.35,42.8,17.16,1.717
Uttarkashi,0,IN,1570837776,83,30.73,78.44,10.88,1.959
Poum,2,MK,1570837776,81,41.28,20.71,10.68,1.723
Micheweni,49,TZ,1570837777,83,-4.97,39.83,26.38,4.341
Saint George,20,GR,1570837282,88,39.45,22.34,18.53,1.379
Havoysund,31,NO,1570837777,92,71.0,24.66,-2.0,2.6
Laurel,1,US,1570837777,62,39.1,-76.85,16.56,2.871
Walvis Bay,30,NA,1570837777,93,-22.95,14.51,16.11,1.5
Harlingen,90,NL,1570837778,100,53.18,5.41,13.36,5.7
Urambo,35,TZ,1570837778,73,-5.07,32.07,21.14,3.758
Jiwani,0,PK,1570837778,76,25.05,61.74,27.44,2.875
Lata,0,IN,1570837778,61,30.78,78.62,-2.64,0.318
Bambanglipuro,87,ID,1570837779,81,-7.95,110.28,24.31,1.866
Ponta Delgada,40,PT,1570837779,88,37.73,-25.67,18.39,5.1
Aksehir,8,TR,1570837779,66,38.36,31.42,15.64,2.714
Nuevo Progreso,90,US,1570837780,63,26.05,-97.95,18.22,8.7
Celestun,0,MX,1570837780,77,20.87,-90.4,28.63,10.484
Natal,20,BR,1570837251,78,-5.81,-35.21,25.0,2.6
Kidal,31,ML,1570837780,29,18.44,1.41,28.47,2.1
La Maddalena,20,IT,1570837780,82,39.15,9.02,17.89,2.6
Jupiter,75,US,1570837781,83,26.93,-80.09,25.84,3.6
Ulaangom,0,MN,1570837781,57,49.98,92.07,1.32,2.475
Carutapera,18,BR,1570837781,80,-1.2,-46.02,26.69,7.451
Kosa,75,JP,1570837781,83,32.67,130.82,21.83,3.6
Yumen,18,CN,1570837782,47,40.29,97.04,8.59,0.765
Hervey Bay,72,AU,1570837782,60,-25.3,152.85,23.24,4.6
Clyde River,20,CA,1570837782,68,70.47,-68.59,-1.0,5.7
Esperance,90,AU,1570837783,100,-33.86,121.89,14.0,2.6
Vardo,1,US,1570837783,63,39.62,-77.74,13.97,2.763
Mandera,73,ET,1570837783,71,3.94,41.86,26.75,8.549
Richards Bay,0,ZA,1570837783,74,-28.77,32.06,18.8,9.379
Cilegon,20,ID,1570837784,78,-6.02,106.05,26.81,2.6
Anda,21,CN,1570837784,27,46.41,125.33,1.65,3.514
Takoradi,9,GH,1570837784,88,4.89,-1.75,25.23,3.291
Abonnema,75,NG,1570837784,100,4.71,6.79,24.0,1.636
Diffa,4,NE,1570837785,51,13.32,12.61,29.9,6.969
Dhadar,0,IN,1570837785,30,28.33,75.06,25.07,3.038
Stranda,100,NO,1570837785,87,62.31,6.93,4.95,3.6
Numata,100,JP,1570837785,92,36.65,139.04,19.98,0.89
Thompson,40,CA,1570837786,47,55.74,-97.86,3.0,7.2
Yulara,34,AU,1570837786,10,-25.24,130.99,31.0,2.1
